Arabic term,Meaning,Literal translation
القاسي,"One whose heart is hardened against truth and compassion. It is inward resistance and insensitivity, not a firm personality.",harsh
الموقن,"One possessing settled certainty that shapes action. It implies embodied conviction, not merely confidence.",certain
المخبت,"A person humbly settled, tranquil, and receptive before Allah. It combines lowliness, trust, and willing obedience.",humble
الخاشع,A person inwardly humbled and outwardly composed before Allah. This describes reverent presence of heart expressed through bodily stillness.,submissive
القانت,"One persistently obedient and devoutly standing before Allah. It may include prolonged worship, humble obedience, or supplication.",obedient
الأواب,"One who repeatedly returns to Allah in repentance and devotion. It suggests frequent, heartfelt returning, not a single apology.",repentant
المنيب,One who turns back to Allah with reliance and obedient devotion. It is a sustained orientation toward Allah.,penitent
التائب,"One who abandons sin, regrets it, and returns to obedience. It requires moral return, not verbal regret alone.",repenter
الذاكر,"One who actively remembers and mentions Allah. It includes heart, tongue, awareness, and obedience.",rememberer
الشاكر,"One who recognizes blessings, praises the Giver, and uses blessings rightly. It is enacted gratitude, not emotion alone.",thankful
الصابر,"One who steadfastly restrains the soul upon obedience and through hardship. It means disciplined perseverance, not passive waiting.",patient
المتوكل,One who relies upon Allah while taking legitimate means. It combines heart-reliance with responsible action.,fatalistic
الراجي,"One who hopes in Allah while pursuing the causes of mercy. It is morally active hope, not wishful thinking.",hopeful
الخائف,"One who fears Allah in a way that restrains wrongdoing and motivates obedience. It is reverent moral fear, not panic.",afraid
الوجل,A trembling inward awe awakened by awareness of Allah. It is a sensitive and reverent response rather than panic.,fear
الرهبة,Awe-filled fear that turns a person away from wrongdoing. It is often paired with hopeful longing to express balanced worship.,dread
الرغبة,"Earnest longing directed toward Allah and His reward. In devotional contexts it is hopeful aspiration, not appetite.",desire
الإنابة,Continual turning of the heart and conduct back to Allah. It is broader than repentance from a specific sin and describes an enduring devotional orientation.,repentance
الإخبات,"Humble, tranquil submission and inward settling before Allah. The word evokes low, stable ground as an image of a settled heart.",humility
الصدق,"Truthfulness and inner-outer congruence in word, intention, and covenant. It is a moral quality of being true, not factual accuracy alone.",truth
المراقبة,"Living with sustained awareness that Allah observes and knows all things. It is a spiritual practice of accountability, not surveillance of other people.",monitoring
المحاسبة,"Examining and holding oneself accountable before final judgment. It means moral self-audit, not bookkeeping.",accounting
المجاهدة,"Disciplined striving against the ego, habits, and obstacles to obedience. In this context it commonly means inner moral struggle, not armed conflict.",struggle
الافتقار,"Conscious recognition of one's complete need of Allah. It is spiritual and existential dependence, not merely financial poverty.",poverty
القرب,"Spiritual nearness to Allah through His favour, worship, and obedience. It does not imply physical distance or bodily location.",nearness
المحبة,"Devotional love that entails preference, obedience, and longing. It is covenantal and transformative, not sentiment alone.",affection
الشوق,Spiritual yearning to meet Allah and attain His pleasure. It is an elevated devotional desire.,longing
الأنس,"Intimate spiritual ease and comfort found in remembering and worshipping Allah. It is inward familiarity with devotion, not sociability.",sociability
النسك,"A prescribed act of devotion, especially sacrificial or pilgrimage worship. It can denote worship generally or a specific sacrificial rite.",ritual
الشعيرة,A divinely appointed symbol or rite that publicly marks devotion. It is a sacred sign whose honour reflects reverence for Allah.,slogan
الشعائر,"The divinely established rites and symbols of worship. It carries sacred legal significance, not cultural pageantry.",ceremonies
الصلاة,"The prescribed ritual prayer combining recitation, standing, bowing, and prostration. It is distinct from supplication.",prayer
القيام,"Standing in worship, especially prolonged night prayer. It means devotional standing before Allah.",standing
الركوع,Ritual bowing that embodies humble submission. It is a prescribed prayer posture with devotional meaning.,bowing
السجود,"Placing the forehead in prostration as the highest bodily act of worship. It denotes worshipful abasement to Allah, not ordinary bowing.",prostration
القنوت,"Prolonged devout obedience, standing, or supplication. Its exact meaning varies between Qur'anic passages and legal discussions.",silence
الوتر,"The odd-numbered night prayer concluding voluntary worship. A technical devotional term, not arithmetic alone.",odd
التهجد,Voluntary night prayer performed after sleeping. It is often distinguished from voluntary prayer offered earlier in the night.,night prayer
التراويح,"Ramadan night prayers performed with intervals of rest. The name reflects pauses between units, not relaxation as the purpose.",rest prayers
السنن,"Recommended Prophetic practices or established normative ways. In other contexts, the plural can also refer to recurring patterns or laws established by Allah.",traditions
النافلة,A voluntary act of worship beyond what is obligatory. It is spiritually meritorious and can repair deficiencies in obligatory worship.,extra
التطوع,"Freely undertaken obedience beyond binding duty. It means optional devotion, not civic service.",volunteering
الفريضة,A specifically apportioned and binding religious obligation. It is legally mandatory and divinely assigned.,duty
الواجب,"A legally binding act whose omission is sinful. Some legal schools distinguish technically between this category and the closely related category of fard, while others use them nearly synonymously.",necessary
الركن,"An integral element without which an act of worship is invalid. It is an internal essential component, not merely something important.",pillar
الشرط,A prerequisite required before an act or ruling can be valid. A legal condition lies outside the act itself but determines validity.,condition
الواجبات,Binding components or duties whose omission has legal consequence. The exact consequence differs across legal schools and acts.,requirements
المبطلات,"Acts that invalidate worship or a legal transaction. These are technically defined nullifiers, not anything disliked.",cancellations
المكروه,"An act religiously discouraged but not normally forbidden. The English word ""hated"" is too emotional for this technical legal category.",hated
المباح,"An act that is legally permitted in itself, without inherent reward or sin. Intention and consequences can change its moral value.",neutral
المشتبه,"A matter whose lawful or unlawful status is not sufficiently clear. It calls for verification and caution, not suspicion toward people.",suspicious
الطهارة,Ritual and physical purification required or encouraged for worship. It includes legal states not visible as dirt.,cleanliness
النجاسة,"Ritual impurity defined by Islamic law. It is a juridical category, not general uncleanliness.",dirt
الحدث,"A state of minor or major ritual impurity that prevents certain acts of worship until purification. In Islamic law, it does not mean an ordinary event.",event
الوضوء,The prescribed washing and wiping before prayer. It is a specific ritual act with intention and ordered components.,ablution
الغسل,"The full ritual bath required in defined circumstances. It is a legal purification, not an ordinary shower.",washing
التيمم,"Ritual purification with clean earth or dust when water is unavailable or cannot safely be used. It is a legally defined substitute, not ordinary ""dry washing."".",dry washing
الاستنجاء,"Cleansing oneself after relieving oneself. It is a technical practice of ritual cleanliness, not general bathing.",washing
الاستجمار,"Cleansing after relieving oneself with suitable dry material. Stones were historically common, but equivalent clean materials may fulfil the function.",using stones
المسح,Ritual wiping over a body part or permitted covering. It has precise conditions and is not interchangeable with washing.,wiping
القبلة,"The direction of the Kaaba faced during prayer. Without vowel marks, the word can be confused with a homograph meaning ""kiss."".",kiss
حضور القلب,Attentive awareness of Allah and the act of worship within the heart. It describes inward presence rather than concentration alone.,concentration
التكبير,"Declaring ""Allah is greater"" as an act of glorification, especially by saying ""Allahu akbar."".",magnification
التحميد,"Praising Allah, especially by saying ""al-hamdu lillah."" The term often names this established formula of praise.",praising
التسبيح,Declaring Allah free from every defect and limitation. It is more specific than general praise.,glorification
التهليل,"Saying ""there is no deity worthy of worship except Allah."" The term names this declaration of divine oneness, not chanting in general.",chanting
الحوقلة,"Saying ""there is no power or ability except through Allah."" The formula acknowledges that all effective strength and change depend on Him.",a slogan
الحسبلة,"Saying ""Allah is sufficient for us, and He is the best disposer of affairs,"" or a related formula of reliance. The word is a devotional abbreviation, not calculation.",calculation
الاستعاذة,"Seeking Allah's protection from evil. It is a worshipful appeal, commonly before recitation.",refuge
البسملة,"Saying ""In the name of Allah, the Most Merciful, the Ever-Merciful."" The word is the technical name for beginning with this formula.",naming
الحمدلة,"Saying ""All praise belongs to Allah."" The word is a coined name for this formula, not praise in general.",praise
الصلاة على النبي,"Asking Allah to bless, honour, and exalt Prophet Muhammad. The supplication is directed to Allah, not to the Prophet.",blessings upon the Prophet
الأذان,The formal public call announcing the time of prescribed prayer. It is a regulated act of worship with fixed wording.,announcement
الإقامة,The shorter call immediately preceding congregational prayer. The same Arabic form has unrelated everyday meanings.,residence
الإمامة,"Leadership of congregational prayer; more broadly, leadership, authority, or exemplary guidance. The intended meaning can differ significantly across legal, political, and theological contexts.",imamate
الاقتداء,Following the prayer leader's actions in proper sequence. In congregational prayer it is a technical relationship to the imam.,imitation
الائتمام,Joining and following an imam in congregational prayer. It is a technical prayer term governing how the follower coordinates with the imam.,being led
الصف,The aligned row of worshippers in congregational prayer. It carries ritual requirements of straightness and cohesion.,line
الجمعة,"The weekly Friday congregational prayer and, by extension, its day. In religious context, it often refers to the institution of Friday worship rather than the weekday alone.",friday
الخطبة,The formal sermon delivered as part of Friday or Eid worship. It has ritual and legal features beyond ordinary public speaking.,speech
المنبر,The pulpit from which the sermon is delivered. It carries Prophetic and communal symbolism in Islamic discourse.,platform
الاعتكاف,"Devotional seclusion in a mosque with intention of worship. It is a regulated religious practice, not a wellness retreat.",retreat
الصيام,"Worshipful abstention from defined things from dawn to sunset with intention. It includes spiritual restraint and legal conditions, not merely not eating.",fasting
الإفطار,Ending a fast at its lawful time; also not fasting when permitted. The common English sense can obscure the religious act.,breakfast
السحور,"The pre-dawn meal eaten before a day of fasting. It is a recommended Prophetic practice, not simply a late-night meal.",late meal
الحج,"The major pilgrimage to Mecca performed through prescribed rites at a set time. It is a specific obligation, not any sacred journey.",pilgrimage
العمرة,"The lesser pilgrimage consisting of entering consecration, circumambulating the Kaaba, and walking between Safa and Marwah. It is a defined act of worship, not simply visiting Mecca.",minor pilgrimage
الإحرام,Entering the consecrated state for Hajj or Umrah through intention and prescribed restrictions. The familiar garments mark this state but are not the state itself.,ritual consecration
الطواف,"Ritual circumambulation of the Kaaba in prescribed form. It is worship directed to Allah, not worship of the building.",circling
السعي,"The ritual walking between Safa and Marwah during Hajj or Umrah. Outside pilgrimage, the same word commonly means effort or striving.",effort
الوقوف,"Being present at Arafah during the prescribed pilgrimage time, an essential rite of Hajj. Continuous physical standing is not required.",standing
الرمي,Casting pebbles at the designated pillars during Hajj. The targets symbolize rejection of temptation; they are not literally Satan.,stoning the devil
الهدي,"An animal offering designated for Hajj or Umrah. Without vowel marks, the word can be confused with another word meaning guidance.",guidance
الأضحية,"The sacrificial animal offered during Eid al-Adha according to prescribed rules. It is a devotional offering, not a ""victim."".",victim
العقيقة,"The animal sacrifice offered in gratitude for a newborn, commonly accompanied by naming and other practices. The term is not simply hair cutting.",hair cutting
النصوح,"Completely sincere and reforming, especially in the expression ""sincere repentance."" It describes repentance free of deception and accompanied by genuine correction.",honest
الندم,Heartfelt remorse for having disobeyed Allah. It is morally focused regret and is described as the core of repentance.,sadness
الإقلاع,"Immediate cessation and abandonment of a sin. In repentance language it means stopping the offence, not gradual reduction.",taking off
العزم,"Firm resolve of the heart to obey or not return to sin. It is a settled moral decision, not momentary motivation.",determination
الصفح,Graciously turning away from an offence without reproach. It suggests opening a new page rather than repeatedly mentioning the wrong.,pardon
التكفير,"Expiation or removal of sins; in another context, declaring a person to be an unbeliever. The surrounding words are essential because the two meanings are very different.",declaring unbelief
الكفارة,"A prescribed act of expiation for a specific violation. It does not necessarily replace repentance, compensation, or restoration of another person's rights.",atonement
الحسنات,"Righteous deeds and moral goods rewarded by Allah. It includes acts, qualities, and their reward-bearing effects.",good points
السيئات,"Sins, evil deeds, or harmful consequences. It can denote offences themselves or the harms they produce.",bad things
المحو,"Erasure or removal, especially Allah's erasing sins or their recorded effects. It is a theological image of complete removal, not computer deletion.",deletion
التبديل,"Allah's replacing evil deeds with good for sincere repenters. It is transformative, not mere relabelling.",switching
الرجوع,"Returning to Allah, truth, or obedience after departure. It describes existential return, not movement.",going back
الأوبة,"Frequent and loving return to Allah. It conveys repeated devotional return, stronger than ordinary coming back.",return
التحصين,"Seeking protection through prescribed remembrance, Qur'anic recitation, and supplication. It does not mean creating a magical shield.",fortification
الأذكار,"Established formulas and acts of remembering Allah for recurring times and situations. They include praise, supplication, and Qur'anic phrases.",chants
التلبية,"The pilgrimage response beginning ""Labbayka,"" expressing readiness, obedience, and repeated response to Allah's call.",chanting
التقديس,"Affirming Allah's absolute sacredness and freedom from every imperfection. It concerns divine transcendence, not making something holy by human action.",sanctification
الابتهال,"Earnest, humble supplication made with deep need. It combines humility, intensity, and turning to Allah.",pleading
الثناء,Praising Allah by mentioning His beautiful qualities and acts. It is reverent praise and is broader than repeating a single formula.,compliment
الاستغاثة,"Seeking urgent rescue or relief. In theological discussion, the meaning and ruling depend on whom help is sought from and what ability is attributed to them.",calling for help
الاستعانة,Seeking help while recognizing that all ultimate power belongs to Allah. It may refer to ordinary assistance from people or devotional reliance on Allah.,asking help
الاستمداد,"Seeking reinforcement, support, or aid. Because the word can be used materially or spiritually, the source and kind of help must be clear from context.",drawing power
المسألة,"A request or question. In devotional context, it can mean asking Allah for a need; in scholarly context, it means an issue under discussion.",problem
المناجاة,"Intimate, private conversation and supplication directed to Allah. It conveys closeness, confidentiality, and inward address.",whispering
الاستكانة,"Humble submission and loweredness before Allah, especially during hardship. It is voluntary spiritual yielding, not degradation before people.",humiliation
التضرع,"Humble, broken-hearted pleading before Allah. It denotes spiritually truthful need, not degrading performance.",groveling
الانكسار,Contrite humility and awareness of need before Allah. It is not psychological collapse or loss of human dignity.,brokenness
المودة,"Affectionate love expressed through loyalty, care, and good treatment. It emphasizes warm, enacted affection rather than emotion alone.",love
الرغب,Hopeful desire directed toward Allah. It is often paired with awe-filled fear to express balance between hope and fear.,wanting
الرهب,"Awe-filled fear that turns a person away from disobedience. It is devotional reverence, not panic.",panic
الاستجابة,A response to a call or supplication. Allah's answer to prayer may take a form other than the exact result requested.,response
القبول,"Allah's gracious acceptance of worship or repentance. An act may be outwardly valid while its ultimate acceptance remains dependent on sincerity, conformity, and divine grace.",approval
الإجابة,"Granting or responding to a request. In the context of supplication, an answer does not necessarily mean immediate fulfilment in the exact form expected.",answer
الإلحاح,"Persistent and repeated supplication without despair. It is praised when joined with humility, trust, and patience rather than entitlement.",nagging
اليقظة,"Spiritual wakefulness after heedlessness. It is the heart's awakening to mortality, sin, and divine signs.",alertness
الغفلة,Heedless absence from awareness of Allah and the Hereafter. A person may remember facts yet remain spiritually heedless.,forgetfulness
النسيان,"Forgetting; sometimes neglecting or abandoning what one was commanded to remember. It may carry moral neglect, not involuntary forgetting only.",memory failure
التفكر,"Deliberate reflection on signs, creation, and meaning. It is worshipful reasoning aimed at recognition and reform.",thinking
التذكر,"Recovering and responding to a truth through reminder. It includes moral receptivity, not recall alone.",remembering
الاستحضار,Bringing a meaning consciously before the heart. It means sustaining awareness of divine presence and intention.,recalling
التفويض,"Entrusting the result of one's affairs to Allah after responsible effort. It is inward surrender, not abandonment of action.",delegation
الثقة,"Settled confidence in Allah's promise, wisdom, and care. The word itself can mean trust generally, so its object must be clear.",self-confidence
حسن الظن,"Expecting Allah's mercy, wisdom, and good treatment while continuing repentance and obedience. It is not presumption that actions have no consequences.",positive thinking
سوء الظن,"Unfounded negative suspicion about Allah or other people. It can concern divine wisdom, another person's motives, or social conduct and must be understood from context.",negative thinking
الاستعجال,"Impatiently demanding an answer or outcome before its wise time. In supplication, it includes losing hope because the request was not answered quickly.",speed
القنوط,"Despairing of Allah's mercy. It is a theological-moral loss of hope, not ordinary discouragement.",sadness
اليأس,"Loss of hope, especially in relief or mercy. It can become blameworthy when it denies Allah's power or compassion.",pessimism
البشارة,Glad tidings that announce divine favour or a hopeful outcome. It carries authoritative promise and spiritual encouragement.,good news
الإنذار,"A warning given before accountability so that danger can be avoided. In prophetic speech, it is advance moral warning rather than mere intimidation.",threat
الاستبشار,Rejoicing in received or promised divine favour. It conveys inward gladness awakened by good news.,celebration
الفرج,Divinely granted opening and relief after constriction. It denotes unexpected release from hardship.,escape
الكرب,"Severe constriction, anguish, and overwhelming distress. It is stronger than ordinary pressure or stress.",stress
النجوى,Private conversation or secret counsel. Qur'anic usage can refer positively to intimate supplication or negatively to concealed plotting.,whisper
الوسيلة,A legitimate means of drawing nearer to Allah. The term names the means itself and does not automatically specify a disputed form of intercession.,intermediary
التوسل,"Seeking nearness to Allah or an answer to prayer through a recognized means. Jurists differ about some forms, so the specific means must be identified.",mediation
التبريك,"Invoking or affirming Allah's blessing for a person or thing. It is a prayer that Allah place enduring good, not a transfer of mystical energy.",congratulation
الإنصاف,"Fair-minded recognition of another person's right, even against oneself. It implies surrendering personal advantage when truth requires it.",fairness
البرور,"Abundant dutiful goodness, especially toward parents and those with rights. It includes tenderness and service, not mechanical compliance.",obedience
الصلة,"Maintaining active bonds of kinship through contact, care, support, and reconciliation. In sermon usage, the word often abbreviates ""maintaining family ties."".",contact
الرفق,"Gentleness that chooses the least harmful effective way. It is wise and controlled gentleness, not weakness or refusal to correct.",softness
الحلم,"Forbearing self-control when one has the power to retaliate. Without context, the same spelling can also mean a dream.",dream
الأناة,"Deliberate composure that avoids rash action. It is thoughtful restraint, not laziness or indecision.",slowness
الوقار,"Dignified calm arising from seriousness and self-command. It is inward steadiness reflected outwardly, not stiffness or social status.",solemnity
المروءة,"Honourable character and socially recognized decency that protect human dignity. Although often translated ""manliness,"" the ethical quality is not limited to men.",manliness
الشهامة,"Noble readiness to protect, assist, and act generously. It denotes moral courage and magnanimity, not aristocratic manners.",chivalry
النجدة,"Swift assistance to someone in distress, especially when courage is needed. It includes initiative and solidarity, not emergency technique alone.",rescue
الجود,"Ready and expansive giving without painful reluctance. It suggests an open-handed disposition, not merely the size of a gift.",generosity
الكرم,"Nobility expressed through generosity, honour, and gracious treatment. It is broader than hosting guests and can describe moral excellence.",hospitality
السخاء,Freedom from stinginess shown in willing expenditure. It emphasizes ease of giving rather than extravagance.,liberality
البذل,"Putting one's wealth, effort, time, or status at the service of a worthy cause. It includes personal exertion and sacrifice, not money alone.",spending
المواساة,"Sharing another person's burden through practical, material, and emotional support. It means standing with someone in hardship, not offering comforting words alone.",consolation
الوفاء,"Faithfully completing promises, covenants, rights, and obligations. It concerns fulfilment and integrity, not allegiance regardless of truth.",loyalty
العفة,"Disciplined restraint from unlawful desire and degrading dependence. It includes sexual, financial, and verbal self-restraint.",chastity
الشجاعة,Moral and physical courage governed by wisdom. Islamic ethics places it between cowardice and recklessness.,bravery
الهمة,"Aspirational energy directed toward noble aims. It is elevation of purpose, not status-seeking.",ambition
الجد,"Serious, sustained exertion rather than play or negligence. It combines resolve and work; tone determines whether it contrasts with joking.",seriousness
المثابرة,"Steady continuation despite difficulty and delay. It stresses repeated disciplined effort, not stubborn attachment to error.",persistence
المصابرة,"Outlasting opposition through greater steadfastness. It implies competing in endurance, not merely waiting.",patience
المرابطة,"Sustained vigilance and readiness in defence of duty. In Qur'anic and devotional usage, it may refer either to frontier service or disciplined spiritual watchfulness.",border guarding
التعاون,Mutual assistance in what is righteous and beneficial. Cooperation is praised or blamed according to the purpose it serves.,cooperation
التكافل,"Communal mutual responsibility so that vulnerable members are not abandoned. It is an obligation-bearing social ethic, not sentiment alone.",solidarity
التراحم,Reciprocal active mercy among people. It stresses a community in which members give mercy to one another.,compassion
التعاطف,Emotionally recognizing and sharing another person's condition. Sermons usually connect this fellow feeling with practical support.,sympathy
الأدب,"Disciplined and fitting conduct toward Allah, revelation, people, and particular situations. It combines knowledge, restraint, and propriety rather than etiquette alone.",manners
الاحتشام,"Dignified modesty in appearance, speech, and social conduct. It denotes protected dignity rather than shame toward the body or ordinary interaction.",prudishness
خفض الجناح,"Gentle and accessible humility toward those under one's care. The expression is a Qur'anic image of tenderness, like a bird lowering its wing.",lowering the wing
الصمت,Purposeful restraint of speech when speaking would cause harm or bring no benefit. It does not justify withholding truth when testimony or intervention is required.,silence
حفظ اللسان,"Guarding speech from falsehood, injury, and useless excess. It is a comprehensive discipline of verbal accountability.",holding the tongue
التمحيص,"Careful testing that separates sound information or character from what is defective. It includes purification through examination or trial, not fault-finding for its own sake.",scrutiny
التروي,"Pausing long enough for judgment and action to mature. It is disciplined deliberation, not fear-driven indecision.",hesitation
الستر,"Concealing a person's non-public fault while encouraging correction and avoiding scandal. It does not justify hiding ongoing abuse, public danger, or violations of others' rights.",covering
المداراة,Courteous accommodation used to prevent harm while preserving principle. It differs from compromising truth merely to gain approval.,flattery
التغافل,Wisely overlooking minor faults that one has noticed. It does not mean ignoring serious harm or neglecting responsibility.,deliberate overlooking
العفو عند المقدرة,"Refraining from deserved personal retaliation despite having power. The expression praises moral strength, while public rights may still require justice.",forgiveness when able
كظم الغيظ,"Containing anger so it does not govern speech or action. It means mastery and redirection, not denial of emotion or tolerated abuse.",suppressing rage
إصلاح ذات البين,"Restoring sound relations between estranged people. It is a major communal duty involving truth, justice, and reconciliation.",reconciliation
البشاشة,"Warm, welcoming openness shown in the face and manner. It is socially beneficial graciousness, not forced happiness.",cheerfulness
طلاقة الوجه,"Meeting people with an open, pleasant, and approachable expression. It is a classical idiom and should not be translated literally as ""a loose face."".",a loose face
إغاثة الملهوف,Giving urgent help to a person in acute distress. The expression conveys both urgency and moral responsibility.,helping the distressed
تفريج الكربة,Removing or easing another person's severe distress. The Prophetic expression connects relieving people in this life with receiving divine relief in the Hereafter.,solving a problem
قضاء الحوائج,"Helping people meet legitimate and pressing needs. The word refers to needs and affairs, not every personal desire.",fulfilling wants
حمل الكل,"Supporting a dependent, burdened, or incapable person who cannot manage alone. It is a classical expression and does not mean carrying everyone physically.",carrying everyone
إعانة الضعيف,"Empowering and assisting those with limited power or capacity. It may be social, financial, physical, or situational; the phrase need not demean.",helping the weak
نصرة المظلوم,"Supporting the wronged person in recovering safety and rights. It is effective advocacy and protection, not military victory.",supporting the oppressed
رد المظالم,"Restoring wrongfully taken rights to their owners. It means violated rights or wrongful exactions, not abstract injustices.",restoring wronged rights
أداء الحقوق,Fulfilling the claims and obligations owed to Allah and to people. A right held by one person becomes a duty upon the person who owes it.,performing rights
احترام الحرمات,"Honouring the persons, rights, times, places, and limits made inviolable by Allah. It is broader than respecting sacred objects.",respecting sacred limits
تعظيم الشعائر,"Honouring the visible rites and symbols designated by Allah. It means reverent observance, not enlarging or idolizing symbols.",magnifying rituals
سلامة الصدر,"A heart free of rancour, envy, and malicious intent toward others. The expression is an idiom for inward moral soundness, not physical chest safety.",a safe chest
صفاء القلب,"Inward clarity unclouded by persistent malice, vanity, or duplicity. It does not imply sinlessness; it describes cultivated moral lucidity.",purity of heart
طهارة الباطن,"Cleansing inward motives and states from spiritual corruption. It concerns intention and character, not ritual purification.",inner cleanliness
محاسن الأخلاق,The recognized excellences of stable moral character. It points to embodied virtues rather than abstract moral theories.,good ethics
مكارم الأخلاق,"The highest and most noble forms of moral character. It denotes elevated excellences, not generosity alone.",generous morals
السماحة,"Gracious ease, generosity, and forbearance in lawful dealings. It does not mean unrestricted permissiveness or indifference to principle.",permissiveness
التيسير,Making religious duties practicable through lawful ease and concession. It does not mean altering the religion simply to choose the least demanding option.,making easy
رفع الحرج,"Removing excessive hardship recognized by Islamic law. Here, ""haraj"" means serious constriction, not social embarrassment.",removing hardship
الاعتدال,"Upright moderation that avoids blameworthy excess and neglect. It is guided by principle, not by automatically choosing the numerical midpoint.",centrism
التوازن,"Giving multiple legitimate claims their proportionate due. It is ethical integration, not mathematical equality.",balance
الوسطية,"A just, balanced, and morally excellent religious orientation. It does not mean compromise between truth and falsehood.",moderation
المداومة,Regular continuation of a good act even when small. It stresses stable practice rather than unbroken action at every moment.,permanence
الاقتصاد في الطاعة,Sustainable and measured devotion without negligence or self-destructive excess. It expresses the Prophetic ideal of steady worship within human capacity.,moderation in worship
اغتنام الأوقات,"Using available periods as opportunities for worship and benefit. It implies valuing a fleeting opportunity, not exploitation.",seizing times
ترتيب الأولويات,Ordering duties and benefits according to their real religious importance. It prevents lesser goods from displacing greater obligations.,setting priorities
فقه الموازنات,The juristic method of weighing competing benefits and harms when they cannot all be achieved or avoided. It is more than ordinary compromise.,jurisprudence of balancing
السمعة,"Seeking reputation by making one's good deeds heard or talked about. It is closely related to showing off, but often focuses on being praised through reports rather than direct observation.",fame
العجب,"Self-admiration that credits oneself and forgets divine grace. It is inward moral conceit, not healthy recognition of progress.",wonder
الاستكبار,"Actively refusing submission out of a claimed superiority. It implies enacted resistance, especially toward divine command.",arrogance
الخيلاء,"Ostentatious self-importance displayed in bearing, dress, or conduct. It is pride made visible, not every confident appearance.",swagger
الغرور,"Deceptive confidence produced by false appearances, wishful thinking, or worldly attraction. It is being deluded, not merely admiring one's looks.",vanity
الغبطة,"Wishing to receive a blessing similar to another person's without wanting their blessing removed. It is positive emulation, not envy.",envy
الحقد,"Stored hostility that remains in the heart and seeks retaliation. It is sustained inward enmity, not a passing hurt.",grudge
الغل,Deep concealed rancour or treacherous resentment. It denotes hidden hostility that contaminates relationships.,malice
البغضاء,Settled hatred and mutual aversion. It describes a relational condition that can be socially cultivated.,hatred
الشحناء,"Hostility that fills the space between people and prolongs estrangement. It emphasizes charged interpersonal hostility, often blocking forgiveness.",enmity
البهتان,A false accusation so serious that it leaves the accused stunned. It is stronger than an ordinary lie.,slander
الإفك,A grave fabricated falsehood that reverses or distorts reality. It is often used for calumny.,lie
الكذب,"Knowingly stating or conveying what is contrary to reality. Its seriousness varies with intention, subject, and harm, but deliberate falsehood is the central meaning.",lying
الزور,"Deliberately distorted speech, testimony, or presentation that makes falsehood appear sound. It includes false testimony and deceptive appearance, not words alone.",falsehood
الفحش,Gross indecency or excess in speech and conduct. It is whatever crosses recognized moral bounds in an ugly way.,obscenity
البذاءة,"Habitually coarse, abusive, or shameless speech. It denotes verbal foulness that reflects degraded character.",rudeness
السباب,"Mutual or direct reviling and insulting. It is personal abuse, not merely using taboo words.",swearing
اللعن,"Invoking exclusion from Allah's mercy. It is a grave religious formula, not an ordinary insult.",cursing
الطعن,"Attacking another's honour, lineage, integrity, or standing. In moral discourse it is verbal or reputational assault.",stabbing
السخرية,"Ridiculing a person in order to belittle them. It is contemptuous mockery, not all humour or joking.",humour
الاستهزاء,"Treating truth, religion, or people as objects of derisive scorn. It conveys contempt and can be doctrinally grave when directed at sacred matters.",teasing
التنابز,Calling one another by offensive labels or nicknames. It highlights a culture of exchanged humiliation.,name-calling
سوء الأدب,"Conduct that violates the reverence or respect appropriate to a person, sacred matter, or situation. It is broader than poor etiquette.",bad manners
العقوق,"Grave undutifulness and harmful conduct toward parents. It includes injury, contempt, and abandonment, not every disagreement.",disobedience
القطيعة,Severing a relationship that one is religiously required to maintain. It most often concerns kinship but can also describe an unjustified social rupture.,estrangement
الخيانة,"Betraying a trust, covenant, confidence, or entrusted right. It is broader than betrayal of a state.",treason
الغدر,Violating a pledge after giving another party security or confidence. It emphasizes treacherous reversal after assurance.,betrayal
نكث العهد,Breaking a solemn promise or covenant after confirming it. It evokes unravelling something firmly twisted.,undoing the pact
الجحود,"Denying a truth or favour that one inwardly recognizes. It implies culpable refusal, not simple lack of knowledge.",denial
الكفران,"Denying or covering over gratitude for a blessing. Depending on context, the word can mean ingratitude and may also be connected with disbelief.",unbelief
البطر,"Arrogant exultation in blessings that leads to ingratitude and wrongdoing. It condemns corrupted enjoyment, not happiness itself.",joy
الأشر,"Arrogant, heedless exuberance produced by prosperity. It describes morally intoxicated self-indulgence, not ordinary cheerfulness.",merriment
الإسراف,"Exceeding proper limits in spending, consumption, behaviour, or even otherwise lawful activity. It is broader than wasting money.",waste
التبذير,"Dissipating wealth into wrongful or useless uses. The wrongdoing concerns where resources are directed, not only the amount spent.",extravagance
الشح,Possessive greed combining stinginess with an urge to acquire what others have. It is stronger than ordinary reluctance to spend.,miserliness
البخل,"Withholding what is due or appropriate despite having the ability to give. Unlike shuhh, the word focuses mainly on withholding rather than coveting.",stinginess
الطمع,"Covetous desire for what another person possesses or controls. It is blameworthy when gain becomes more important than dignity, justice, or duty.",hope
الحرص,"Intense eagerness to acquire or retain something. The word can praise diligence, but in moral warnings it often means grasping attachment.",carefulness
الجشع,Insatiable greed that is not satisfied by sufficiency. It stresses voracious excess rather than prudent desire.,greed
الرشوة,"A payment, gift, or benefit used to corrupt a duty or obtain an undeserved advantage. Its moral nature is determined by its purpose, not the label given to it.",gift
الغلول,"Secretly misappropriating communal, entrusted, or public property. The term has a strong religious association with betrayal of public trust and war gains.",embezzlement
