Arabic term,Meaning,Literal translation,Arabic variations + translation,Alternative context meaning(s)
المجاهدة,"Disciplined striving against the ego, habits, and obstacles to obedience. In this context it commonly means inner moral struggle, not armed conflict.",struggle,جَاهَدَ (verb) — strive; struggle | مُجَاهِد (active participle) — one who strives; struggler,
الافتقار,"Conscious recognition of one's complete need of Allah. It is spiritual and existential dependence, not merely financial poverty.",poverty,اِفْتَقَرَ إِلَى (verb) — be in need of; lack | مُفْتَقِر (adjective) — needy; dependent,
القرب,"Spiritual nearness to Allah through His favour, worship, and obedience. It does not imply physical distance or bodily location.",nearness,,
الأنس,"Intimate spiritual ease and comfort found in remembering and worshipping Allah. It is inward familiarity with devotion, not sociability.",sociability,,
النسك,"A prescribed act of devotion, especially sacrificial or pilgrimage worship. It can denote worship generally or a specific sacrificial rite.",ritual,,
الشعيرة,A divinely appointed symbol or rite that publicly marks devotion. It is a sacred sign whose honour reflects reverence for Allah.,slogan,,General lexical context: distinguishing sign; marker.
الشعائر,"The divinely established rites and symbols of worship. It carries sacred legal significance, not cultural pageantry.",ceremonies,,
القنوت,"Prolonged devout obedience, standing, or supplication. Its exact meaning varies between Qur'anic passages and legal discussions.",silence,,
الوتر,"The odd-numbered night prayer concluding voluntary worship. A technical devotional term, not arithmetic alone.",odd,,Anatomy/music context: tendon; string or cord.
التراويح,"Ramadan night prayers performed with intervals of rest. The name reflects pauses between units, not relaxation as the purpose.",rest prayers,,
السنن,"Recommended Prophetic practices or established normative ways. In other contexts, the plural can also refer to recurring patterns or laws established by Allah.",traditions,,
النافلة,A voluntary act of worship beyond what is obligatory. It is spiritually meritorious and can repair deficiencies in obligatory worship.,extra,,Classical/Qur'anic context: additional gift; something beyond what is due.
الفريضة,A specifically apportioned and binding religious obligation. It is legally mandatory and divinely assigned.,duty,,
الركن,"An integral element without which an act of worship is invalid. It is an internal essential component, not merely something important.",pillar,,Architecture: corner; angle.
المبطلات,"Acts that invalidate worship or a legal transaction. These are technically defined nullifiers, not anything disliked.",cancellations,,
المكروه,"An act religiously discouraged but not normally forbidden. The English word ""hated"" is too emotional for this technical legal category.",hated,,
المباح,"An act that is legally permitted in itself, without inherent reward or sin. Intention and consequences can change its moral value.",neutral,,
المشتبه,"A matter whose lawful or unlawful status is not sufficiently clear. It calls for verification and caution, not suspicion toward people.",suspicious,,
النجاسة,"Ritual impurity defined by Islamic law. It is a juridical category, not general uncleanliness.",dirt,,
الحدث,"A state of minor or major ritual impurity that prevents certain acts of worship until purification. In Islamic law, it does not mean an ordinary event.",event,,
التيمم,"Ritual purification with clean earth or dust when water is unavailable or cannot safely be used. It is a legally defined substitute, not ordinary ""dry washing."".",dry washing,,
الاستنجاء,"Cleansing oneself after relieving oneself. It is a technical practice of ritual cleanliness, not general bathing.",washing,اِسْتَنْجَى (verb) — cleanse after relieving oneself,
الاستجمار,"Cleansing after relieving oneself with suitable dry material. Stones were historically common, but equivalent clean materials may fulfil the function.",using stones,اِسْتَجْمَرَ (verb) — cleanse with dry material; cleanse with stones,
القبلة,"The direction of the Kaaba faced during prayer. Without vowel marks, the word can be confused with a homograph meaning ""kiss."".",kiss,قِبْلِيّ (nisba adjective) — qibla-related; southern,General figurative context: focus/destination; direction toward which people turn.
حضور القلب,Attentive awareness of Allah and the act of worship within the heart. It describes inward presence rather than concentration alone.,concentration,,
التكبير,"Declaring ""Allah is greater"" as an act of glorification, especially by saying ""Allahu akbar."".",magnification,كَبَّرَ (verb) — magnify; say 'Allahu akbar',
التحميد,"Praising Allah, especially by saying ""al-hamdu lillah."" The term often names this established formula of praise.",praising,حَمَّدَ (verb) — praise; say 'alhamdulillah',
التسبيح,Declaring Allah free from every defect and limitation. It is more specific than general praise.,glorification,سَبَّحَ (verb) — glorify; declare free of imperfection | مُسَبِّح (active participle) — one who glorifies; praising,
التهليل,"Saying ""there is no deity worthy of worship except Allah."" The term names this declaration of divine oneness, not chanting in general.",chanting,هَلَّلَ (verb) — say 'la ilaha illa Allah'; acclaim,
الحوقلة,"Saying ""there is no power or ability except through Allah."" The formula acknowledges that all effective strength and change depend on Him.",a slogan,,
الحسبلة,"Saying ""Allah is sufficient for us, and He is the best disposer of affairs,"" or a related formula of reliance. The word is a devotional abbreviation, not calculation.",calculation,,
الاستعاذة,"Seeking Allah's protection from evil. It is a worshipful appeal, commonly before recitation.",refuge,,
البسملة,"Saying ""In the name of Allah, the Most Merciful, the Ever-Merciful."" The word is the technical name for beginning with this formula.",naming,,
الحمدلة,"Saying ""All praise belongs to Allah."" The word is a coined name for this formula, not praise in general.",praise,,
الإقامة,The shorter call immediately preceding congregational prayer. The same Arabic form has unrelated everyday meanings.,residence,,
الإمامة,"Leadership of congregational prayer; more broadly, leadership, authority, or exemplary guidance. The intended meaning can differ significantly across legal, political, and theological contexts.",imamate,,
الاقتداء,Following the prayer leader's actions in proper sequence. In congregational prayer it is a technical relationship to the imam.,imitation,اِقْتَدَى بِـ (verb) — follow; emulate | مُقْتَدٍ (active participle) — follower; imitator,
الائتمام,Joining and following an imam in congregational prayer. It is a technical prayer term governing how the follower coordinates with the imam.,being led,اِئْتَمَّ بِـ (verb) — follow an imam in prayer | مُؤْتَمّ (active participle) — follower in prayer,
الخطبة,The formal sermon delivered as part of Friday or Eid worship. It has ritual and legal features beyond ordinary public speaking.,speech,خَطَبَ (verb) — preach; address | خَطِيب (noun) — preacher; orator,Different vocalization (الخِطْبَة): marriage proposal; engagement request.
الاعتكاف,"Devotional seclusion in a mosque with intention of worship. It is a regulated religious practice, not a wellness retreat.",retreat,اِعْتَكَفَ (verb) — remain in retreat; seclude oneself for worship | مُعْتَكِف (noun) — person in retreat; one in i'tikaf,
الإفطار,Ending a fast at its lawful time; also not fasting when permitted. The common English sense can obscure the religious act.,breakfast,أَفْطَرَ (verb) — break a fast; cease fasting | مُفْطِر (active participle) — one breaking the fast; not fasting,
السحور,"The pre-dawn meal eaten before a day of fasting. It is a recommended Prophetic practice, not simply a late-night meal.",late meal,,
الإحرام,Entering the consecrated state for Hajj or Umrah through intention and prescribed restrictions. The familiar garments mark this state but are not the state itself.,ritual consecration,أَحْرَمَ (verb) — enter ritual consecration; assume ihram | مُحْرِم (noun/adjective) — pilgrim in ihram; ritually consecrated,
السعي,"The ritual walking between Safa and Marwah during Hajj or Umrah. Outside pilgrimage, the same word commonly means effort or striving.",effort,,
الوقوف,"Being present at Arafah during the prescribed pilgrimage time, an essential rite of Hajj. Continuous physical standing is not required.",standing,,
الرمي,Casting pebbles at the designated pillars during Hajj. The targets symbolize rejection of temptation; they are not literally Satan.,stoning the devil,,General physical context: throwing; shooting/casting.
الهدي,"An animal offering designated for Hajj or Umrah. Without vowel marks, the word can be confused with another word meaning guidance.",guidance,,General lexical context: manner of conduct; way or practice.
الأضحية,"The sacrificial animal offered during Eid al-Adha according to prescribed rules. It is a devotional offering, not a ""victim."".",victim,,
العقيقة,"The animal sacrifice offered in gratitude for a newborn, commonly accompanied by naming and other practices. The term is not simply hair cutting.",hair cutting,,Classical lexical context: a newborn's first hair; hair present at birth.
النصوح,"Completely sincere and reforming, especially in the expression ""sincere repentance."" It describes repentance free of deception and accompanied by genuine correction.",honest,,
الإقلاع,"Immediate cessation and abandonment of a sin. In repentance language it means stopping the offence, not gradual reduction.",taking off,أَقْلَعَ عَنْ (verb) — cease; quit,
التكفير,"Expiation or removal of sins; in another context, declaring a person to be an unbeliever. The surrounding words are essential because the two meanings are very different.",declaring unbelief,كَفَّرَ (verb) — expiate; declare an unbeliever,
الكفارة,"A prescribed act of expiation for a specific violation. It does not necessarily replace repentance, compensation, or restoration of another person's rights.",atonement,,
الأذكار,"Established formulas and acts of remembering Allah for recurring times and situations. They include praise, supplication, and Qur'anic phrases.",chants,,
التلبية,"The pilgrimage response beginning ""Labbayka,"" expressing readiness, obedience, and repeated response to Allah's call.",chanting,لَبَّى (verb) — answer; recite the talbiyah | مُلَبٍّ (active participle) — one reciting the talbiyah; respondent,
الاستغاثة,"Seeking urgent rescue or relief. In theological discussion, the meaning and ruling depend on whom help is sought from and what ability is attributed to them.",calling for help,,
الاستمداد,"Seeking reinforcement, support, or aid. Because the word can be used materially or spiritually, the source and kind of help must be clear from context.",drawing power,اِسْتَمَدَّ مِن (verb) — derive from; seek support from | مُسْتَمَدّ (passive participle) — derived; drawn from,
المسألة,"A request or question. In devotional context, it can mean asking Allah for a need; in scholarly context, it means an issue under discussion.",problem,,
المناجاة,"Intimate, private conversation and supplication directed to Allah. It conveys closeness, confidentiality, and inward address.",whispering,نَاجَى (verb) — confide privately; speak intimately to | مُنَاجٍ (active participle) — one confiding; intimate speaker,
الاستكانة,"Humble submission and loweredness before Allah, especially during hardship. It is voluntary spiritual yielding, not degradation before people.",humiliation,,
التضرع,"Humble, broken-hearted pleading before Allah. It denotes spiritually truthful need, not degrading performance.",groveling,,
الانكسار,Contrite humility and awareness of need before Allah. It is not psychological collapse or loss of human dignity.,brokenness,اِنْكَسَرَ (verb) — break; become broken | مُنْكَسِر (adjective) — broken; humbled,
الرغب,Hopeful desire directed toward Allah. It is often paired with awe-filled fear to express balance between hope and fear.,wanting,,
الرهب,"Awe-filled fear that turns a person away from disobedience. It is devotional reverence, not panic.",panic,,
التفويض,"Entrusting the result of one's affairs to Allah after responsible effort. It is inward surrender, not abandonment of action.",delegation,فَوَّضَ (verb) — delegate; entrust | مُفَوَّض (noun/adjective) — delegate; authorized,
الثقة,"Settled confidence in Allah's promise, wisdom, and care. The word itself can mean trust generally, so its object must be clear.",self-confidence,,
حسن الظن,"Expecting Allah's mercy, wisdom, and good treatment while continuing repentance and obedience. It is not presumption that actions have no consequences.",positive thinking,,
سوء الظن,"Unfounded negative suspicion about Allah or other people. It can concern divine wisdom, another person's motives, or social conduct and must be understood from context.",negative thinking,,
النجوى,Private conversation or secret counsel. Qur'anic usage can refer positively to intimate supplication or negatively to concealed plotting.,whisper,,
الوسيلة,A legitimate means of drawing nearer to Allah. The term names the means itself and does not automatically specify a disputed form of intercession.,intermediary,,
التوسل,"Seeking nearness to Allah or an answer to prayer through a recognized means. Jurists differ about some forms, so the specific means must be identified.",mediation,,
الحلم,"Forbearing self-control when one has the power to retaliate. Without context, the same spelling can also mean a dream.",dream,,Different vocalization (الحُلُم): puberty; sexual maturity.
الأناة,"Deliberate composure that avoids rash action. It is thoughtful restraint, not laziness or indecision.",slowness,,
المروءة,"Honourable character and socially recognized decency that protect human dignity. Although often translated ""manliness,"" the ethical quality is not limited to men.",manliness,,
المصابرة,"Outlasting opposition through greater steadfastness. It implies competing in endurance, not merely waiting.",patience,صَابَرَ (verb) — vie in endurance; endure against | مُصَابِر (active participle) — persevering; steadfast,
المرابطة,"Sustained vigilance and readiness in defence of duty. In Qur'anic and devotional usage, it may refer either to frontier service or disciplined spiritual watchfulness.",border guarding,رَابَطَ (verb) — remain stationed; keep watch | مُرَابِط (noun) — sentry; one stationed on guard,
الاحتشام,"Dignified modesty in appearance, speech, and social conduct. It denotes protected dignity rather than shame toward the body or ordinary interaction.",prudishness,اِحْتَشَمَ (verb) — be modest; be decorous | مُحْتَشِم (adjective) — modest; decorous,
خفض الجناح,"Gentle and accessible humility toward those under one's care. The expression is a Qur'anic image of tenderness, like a bird lowering its wing.",lowering the wing,,
حفظ اللسان,"Guarding speech from falsehood, injury, and useless excess. It is a comprehensive discipline of verbal accountability.",holding the tongue,,
التروي,"Pausing long enough for judgment and action to mature. It is disciplined deliberation, not fear-driven indecision.",hesitation,,
الستر,"Concealing a person's non-public fault while encouraging correction and avoiding scandal. It does not justify hiding ongoing abuse, public danger, or violations of others' rights.",covering,,
المداراة,Courteous accommodation used to prevent harm while preserving principle. It differs from compromising truth merely to gain approval.,flattery,دَارَى (verb) — deal tactfully; conciliate | مُدَارٍ (active participle) — tactful; conciliatory,
التغافل,Wisely overlooking minor faults that one has noticed. It does not mean ignoring serious harm or neglecting responsibility.,deliberate overlooking,تَغَافَلَ (verb) — deliberately overlook; pretend not to notice | مُتَغَافِل (active participle) — deliberately overlooking; feigning ignorance,
العفو عند المقدرة,"Refraining from deserved personal retaliation despite having power. The expression praises moral strength, while public rights may still require justice.",forgiveness when able,,
كظم الغيظ,"Containing anger so it does not govern speech or action. It means mastery and redirection, not denial of emotion or tolerated abuse.",suppressing rage,,
إصلاح ذات البين,"Restoring sound relations between estranged people. It is a major communal duty involving truth, justice, and reconciliation.",reconciliation,,
طلاقة الوجه,"Meeting people with an open, pleasant, and approachable expression. It is a classical idiom and should not be translated literally as ""a loose face."".",a loose face,,
إغاثة الملهوف,Giving urgent help to a person in acute distress. The expression conveys both urgency and moral responsibility.,helping the distressed,,
تفريج الكربة,Removing or easing another person's severe distress. The Prophetic expression connects relieving people in this life with receiving divine relief in the Hereafter.,solving a problem,,
قضاء الحوائج,"Helping people meet legitimate and pressing needs. The word refers to needs and affairs, not every personal desire.",fulfilling wants,,
حمل الكل,"Supporting a dependent, burdened, or incapable person who cannot manage alone. It is a classical expression and does not mean carrying everyone physically.",carrying everyone,,
إعانة الضعيف,"Empowering and assisting those with limited power or capacity. It may be social, financial, physical, or situational; the phrase need not demean.",helping the weak,,
نصرة المظلوم,"Supporting the wronged person in recovering safety and rights. It is effective advocacy and protection, not military victory.",supporting the oppressed,,
رد المظالم,"Restoring wrongfully taken rights to their owners. It means violated rights or wrongful exactions, not abstract injustices.",restoring wronged rights,,
أداء الحقوق,Fulfilling the claims and obligations owed to Allah and to people. A right held by one person becomes a duty upon the person who owes it.,performing rights,,
احترام الحرمات,"Honouring the persons, rights, times, places, and limits made inviolable by Allah. It is broader than respecting sacred objects.",respecting sacred limits,,
تعظيم الشعائر,"Honouring the visible rites and symbols designated by Allah. It means reverent observance, not enlarging or idolizing symbols.",magnifying rituals,,
سلامة الصدر,"A heart free of rancour, envy, and malicious intent toward others. The expression is an idiom for inward moral soundness, not physical chest safety.",a safe chest,,
صفاء القلب,"Inward clarity unclouded by persistent malice, vanity, or duplicity. It does not imply sinlessness; it describes cultivated moral lucidity.",purity of heart,,
طهارة الباطن,"Cleansing inward motives and states from spiritual corruption. It concerns intention and character, not ritual purification.",inner cleanliness,,
محاسن الأخلاق,The recognized excellences of stable moral character. It points to embodied virtues rather than abstract moral theories.,good ethics,,
مكارم الأخلاق,"The highest and most noble forms of moral character. It denotes elevated excellences, not generosity alone.",generous morals,,
رفع الحرج,"Removing excessive hardship recognized by Islamic law. Here, ""haraj"" means serious constriction, not social embarrassment.",removing hardship,,
الوسطية,"A just, balanced, and morally excellent religious orientation. It does not mean compromise between truth and falsehood.",moderation,,
الاقتصاد في الطاعة,Sustainable and measured devotion without negligence or self-destructive excess. It expresses the Prophetic ideal of steady worship within human capacity.,moderation in worship,,
اغتنام الأوقات,"Using available periods as opportunities for worship and benefit. It implies valuing a fleeting opportunity, not exploitation.",seizing times,,
فقه الموازنات,The juristic method of weighing competing benefits and harms when they cannot all be achieved or avoided. It is more than ordinary compromise.,jurisprudence of balancing,,
الغبطة,"Wishing to receive a blessing similar to another person's without wanting their blessing removed. It is positive emulation, not envy.",envy,,
الغل,Deep concealed rancour or treacherous resentment. It denotes hidden hostility that contaminates relationships.,malice,,Different vocalization (الغُلّ): shackle; iron collar.
الإفك,A grave fabricated falsehood that reverses or distorts reality. It is often used for calumny.,lie,,
الطعن,"Attacking another's honour, lineage, integrity, or standing. In moral discourse it is verbal or reputational assault.",stabbing,,
الاستهزاء,"Treating truth, religion, or people as objects of derisive scorn. It conveys contempt and can be doctrinally grave when directed at sacred matters.",teasing,اِسْتَهْزَأَ بِـ (verb) — mock; ridicule | مُسْتَهْزِئ (noun/adjective) — mocker; ridiculing,
التنابز,Calling one another by offensive labels or nicknames. It highlights a culture of exchanged humiliation.,name-calling,تَنَابَزَ (verb) — exchange offensive nicknames; trade insults,
نكث العهد,Breaking a solemn promise or covenant after confirming it. It evokes unravelling something firmly twisted.,undoing the pact,,
الكفران,"Denying or covering over gratitude for a blessing. Depending on context, the word can mean ingratitude and may also be connected with disbelief.",unbelief,,
البطر,"Arrogant exultation in blessings that leads to ingratitude and wrongdoing. It condemns corrupted enjoyment, not happiness itself.",joy,,
الأشر,"Arrogant, heedless exuberance produced by prosperity. It describes morally intoxicated self-indulgence, not ordinary cheerfulness.",merriment,,
الإسراف,"Exceeding proper limits in spending, consumption, behaviour, or even otherwise lawful activity. It is broader than wasting money.",waste,أَسْرَفَ (verb) — be excessive; squander | مُسْرِف (adjective) — wasteful; extravagant,
الشح,Possessive greed combining stinginess with an urge to acquire what others have. It is stronger than ordinary reluctance to spend.,miserliness,,
الحرص,"Intense eagerness to acquire or retain something. The word can praise diligence, but in moral warnings it often means grasping attachment.",carefulness,,
الغلول,"Secretly misappropriating communal, entrusted, or public property. The term has a strong religious association with betrayal of public trust and war gains.",embezzlement,,
السحت,"Illicit gain that morally corrupts or destroys the person who consumes it. It includes bribery, extortion, and other unlawful earnings.",dirty money,,
أكل أموال الناس,"Wrongfully taking, using, or benefiting from other people's wealth. ""Eating"" is a Qur'anic idiom for unjust appropriation.",taking people's wealth,,
المطل,"Culpably delaying payment of a due debt despite ability. It is a specific financial injustice, not general delay.",procrastination,,
التطفيف,"Giving less than what is due in weight, measure, quality, or rights. The Qur'anic warning extends beyond marketplace scales to any unfair shortchanging.",short weighing,طَفَّفَ (verb) — give short measure; defraud in measure | مُطَفِّف (noun) — short-measurer; defrauder,
التدليس,"Concealing a relevant defect or creating a misleading impression in a transaction or transmitted report. Its specific technical meaning depends on whether the context is law, commerce, or hadith.",fraud,دَلَّسَ (verb) — conceal defects; misrepresent | مُدَلِّس (noun) — concealer; practitioner of tadlis,
المكر,"Secretly arranging an outcome through means the other party does not perceive. When attributed to Allah, it denotes His decisive response to wrongful plotting, not moral deceit.",plotting,,
الكيد,Purposeful hidden strategizing to overcome or harm an opponent. It can be defensive or blameworthy depending on agent and context.,scheme,,
المحقرات,Sins that people dismiss as insignificant even though their accumulation can be destructive. The word criticizes the person's minimization of them.,trivialities,,
التبرج,Displaying adornment or bodily attractions in a conspicuous way prohibited by Islamic modesty norms. The precise application depends on legal and social context and is not identical to ordinary grooming.,self-expression,,
الخلوة,"Seclusion between adults of opposite sexes who are legally marriageable to one another, in circumstances where normal public access or oversight is absent. It is a technical legal setting, not every form of privacy.",privacy,,
القذف,"Accusing a chaste person of unlawful sexual intercourse without the legally required proof. It is a specific major offence, not every form of defamation.",slander,,Physical context: throwing; hurling.
الميسر,Gambling or games of chance in which wealth is transferred through uncertain gain and loss. It does not include every competition or ordinary business risk.,games,,
التطير,Treating an omen as an independent cause for good or bad action. It is specifically omen-based pessimism that alters decisions.,superstition,,
الطيرة,"The omen or superstitious foreboding itself. Its root arose from birds, but the concept covers many supposed signs.",bird omen,,
العصبية,"Partisan loyalty that supports one's tribe or group even when it is unjust. The condemnation concerns loyalty overriding truth, not group identity itself.",tribalism,,Psychological/medical context: nervousness; irritability.
الجاهلية,"A condition of ignorance, arrogance, and lawlessness opposed to divine guidance. It can describe recurring moral patterns, not only Arabia before Islam.",pre-Islamic era,,
البغي,"Wrongful transgression, oppression, or pursuit of superiority. In legal and political contexts, it can also refer to rebellion, so the surrounding context matters.",rebellion,,
الرَّان,"A Qur'anic image of rust or covering formed on the heart through accumulated sin. It describes loss of spiritual receptivity, not a physical substance.",stain,,
الطبع على القلب,"A Qur'anic image of the heart becoming unreceptive after persistent rejection. It describes a consequence of culpable refusal, not literal printing.",sealing the heart,,
الختم على القلب,"A Qur'anic image of the heart being sealed against guidance after persistent rejection. It is a grave spiritual condition, not a medical description.",heart closure,,
قسوة القلب,"Spiritual hardness that makes reminders and suffering fail to awaken mercy. It is a cultivated moral state, not an immutable personality trait.",hard-heartedness,,
موت القلب,"The heart's loss of spiritual awareness and responsiveness. A metaphor for moral-spiritual lifelessness, not bodily death.",death of the heart,,
هوى النفس,"Personal desire treated as an authority against truth and duty. The word does not condemn every desire, only desire followed in opposition to guidance.",personal desire,,
اتباع الشهوات,"Allowing appetites to direct conduct without lawful restraint. The criticism targets domination by desire, not human appetite itself.",following desires,,
طول الأمل,"Prolonged worldly expectation that delays repentance and useful action. It means living as though death and accountability were remote, not healthy hope.",long hope,,
الإعراض,"Deliberately turning away from truth or reminder after it reaches a person. It is active disengagement, not simple distraction or lack of exposure.",ignoring,أَعْرَضَ عَنْ (verb) — turn away; disregard | مُعْرِض (active participle) — one who turns away; dismissive,
اللهو,"Diversion that occupies a person away from what deserves greater priority. Its moral value depends on what it distracts from, not amusement alone.",entertainment,,
الاحتساب,Acting or enduring hardship while consciously seeking reward from Allah. Intention transforms ordinary service or suffering into an act of worship.,calculation,اِحْتَسَبَ (verb) — seek reward; reckon | مُحْتَسِب (noun) — one seeking reward; market inspector,
الابتلاء,"A test from Allah that reveals, educates, and distinguishes people's responses. It can occur through prosperity as well as adversity.",ordeal,اِبْتَلَى (verb) — test; try | مُبْتَلًى (passive participle) — tested; afflicted,
المحنة,"A severe ordeal that examines and exposes steadfastness. It implies prolonged pressure, including persecution.",crisis,,"Historical context: al-Miḥna, the Abbasid-era theological inquisition."
الضراء,"Adversity involving pain, harm, or material constriction. It is commonly paired with prosperity and ease.",damage,,
السراء,"Prosperity and ease that can themselves test gratitude and character. It describes favourable circumstances, not happiness alone.",happiness,,
البأساء,"Severe deprivation, poverty, or distress that presses upon life. It emphasizes material hardship.",misery,,
الفرج بعد الشدة,Relief and opening granted by Allah after severe constriction. The phrase nurtures hope without guaranteeing a particular worldly result or timetable.,happy ending,,
حسن الظن بالله,"Hopeful confidence in Allah's wisdom, mercy, and fulfilment of His promise. It coexists with repentance and effort; it is not presumption of immunity from consequences.",positive thinking,,
الرضا بالقضاء,"Accepting Allah's decree without inward rebellion while continuing lawful action. It does not require liking pain, refusing treatment, or abandoning efforts at improvement.",resignation,,
التسليم,"Trustfully yielding one's judgment and will to established divine guidance. It is conscious submission, not unthinking passivity.",surrender,سَلَّمَ (verb) — hand over; submit,Administrative/logistics context: delivery; handover.
الأخذ بالأسباب,Using lawful practical causes and means while relying on Allah for the outcome. It rejects both fatalism and belief that causes operate independently of Him.,taking reasons,,
التواكل,Neglecting effort while falsely claiming reliance on Allah. It is the blameworthy opposite or counterfeit of genuine reliance.,mutual reliance,تَوَاكَلَ (verb) — rely passively on others; shirk effort | مُتَوَاكِل (adjective) — passively dependent; indolent,
جهاد النفس,"Sustained struggle to govern desire, anger, habit, and ego according to divine guidance. It is inner moral discipline, not violence against oneself.",struggle against the self,,
شرح الصدر,"An inward opening granted by Allah that produces receptivity, courage, and ease in carrying truth. It is a Qur'anic idiom, not a medical procedure.",opening the chest,,
ضيق الصدر,"Inner constriction expressed as distress, reluctance, or difficulty bearing a matter. It may be spiritual or emotional and should not automatically be treated as a medical diagnosis.",chest tightness,,
ربط القلب,Allah's strengthening and steadying a frightened or grieving heart. It is a Qur'anic image of stabilizing courage and certainty.,tying the heart,,
تثبيت الفؤاد,Strengthening the heart so it remains coherent and steadfast under intense emotional pressure. The expression emphasizes stabilization of the deeply affected inner self.,fixing the heart,,
جبر الخاطر,Comforting and restoring the dignity of a person whose inner state has been wounded. It is a common idiom for consoling the broken-hearted.,mending thoughts,,
الانكسار لله,"Humble contrition before Allah arising from awareness of need and fault. It is spiritually valued dependence, not abuse, despair, or damaged self-worth.",being broken,,
الافتقار إلى الله,"Recognizing one's complete need of Allah for existence, guidance, and ability. The poverty described is spiritual and existential, not financial.",poverty toward God,,
الأمن من مكر الله,"False confidence that one is safe from Allah's judgment while persisting in sin. The phrase condemns presumption, not hopeful trust in divine mercy.",feeling safe from Allah's plan,,
النذارة,"Advance warning that allows a person to avoid danger or punishment. In prophetic teaching, warning is a form of mercy because it precedes consequences.",threatening,,
التزكية,"Purifying the soul while cultivating and increasing virtue. The word combines cleansing and growth, not ritual washing.",purification,زَكَّى (verb) — purify; attest good character | مُزَكٍّ (noun) — purifier; character witness,
البلاغ,"Faithful and complete delivery of a message without concealment or alteration. The speaker is responsible for conveyance, not for forcing acceptance.",communication,,Administrative/legal context: report; formal notice.
الحكمة في الدعوة,"Choosing an appropriate message, method, time, and tone when inviting others to faith. Wisdom means beneficial and truthful delivery, not silence about truth.",wisdom in preaching,,
المجادلة بالتي هي أحسن,"Reasoned disagreement conducted through the most truthful, respectful, and effective means. The expression concerns both the quality of the argument and the manner of presenting it.",debating nicely,,
الأمر بالمعروف,"Promoting what revelation and sound moral judgment recognize as right. It requires knowledge, appropriate authority or ability, likely benefit, and avoidance of greater harm.",commanding good,,
النهي عن المنكر,"Seeking to prevent recognized wrongdoing through lawful, proportionate means. It is not a licence for vigilantism, humiliation, or uninformed interference.",forbidding evil,,
تغيير المنكر,"Working to remove wrongdoing according to one's authority, ability, and the likely consequences. Prophetic teaching distinguishes action, speech, and inward rejection.",changing evil,,
فقه الأولويات,"Understanding which duties, harms, and benefits deserve precedence. It prevents secondary matters from displacing essential obligations.",jurisprudence of priorities,,
فقه الواقع,Accurate understanding of the real circumstances relevant to applying religious guidance. Knowledge of context supplements rather than replaces knowledge of revelation and law.,understanding present realities,,
مآلات الأفعال,The foreseeable outcomes and downstream effects of actions. Ethical and legal judgment may consider consequences as well as immediate intention.,ends of actions,,
سد الذرائع,"Blocking an otherwise permissible means when it is strongly expected to lead to prohibited harm. The word ""means"" is more accurate here than ""excuses."".",closing excuses,,
درء المفاسد,"Preventing or removing genuine harms and corrupting consequences. The term refers to substantive harm, not merely what someone dislikes.",preventing harm,,
جلب المصالح,Securing genuine benefits recognized by revelation and sound reason. It does not mean pursuing private advantage at any cost.,bringing interests,,
التآلف,"Hearts becoming mutually familiar, harmonious, and connected. It describes relational cohesion created through mercy and shared good.",familiarity,,
الائتلاف,"Coming together upon compatible aims after difference. It can be communal concord, not only political alliance.",coalition,اِئْتَلَفَ (verb) — unite; be harmonious | مُؤْتَلِف (adjective) — harmonious; allied,
التحكيم,"Submitting a dispute to an agreed adjudicator for a ruling. It can be legal, familial, or political and requires defined authority.",arbitration,حَكَّمَ (verb) — arbitrate; appoint an arbitrator | مُحَكَّم (noun) — arbitrator; appointed judge,
الشفاعة الحسنة,"Interceding to secure a legitimate benefit or prevent harm. It must not corrupt justice, cancel another person's rights, or privilege someone undeserving.",good intercession,,
الكرامة,"God-given human dignity that forbids humiliation and unjust violation. In other contexts, the same word can also mean an extraordinary grace granted to a righteous person.",honour,,
الجار الجنب,"A neighbour who is unrelated, more distant, or outside one's close circle. Qur'anic commentators differ on the exact shade of meaning, so the phrase should not be translated mechanically.",the distant neighbour,,
الجار ذي القربى,A neighbour who is also near through kinship or close proximity. It combines overlapping claims of neighbourhood and closeness.,near neighbour,,
قطع الرحم,Wrongfully severing family relationships that one is religiously required to maintain. The word for kinship is literally connected with the womb but functions as an idiom.,cutting the womb,,
النفقة,"Obligatory financial maintenance owed to specified dependants. It is a legal duty with scope determined by relationship, means, and custom.",spending,,
القوامة,"The husband's responsibility for maintenance, protection, and accountable leadership within the family. Interpretations differ on its scope, but it denotes duty and responsibility rather than intrinsic human superiority.",male superiority,,
المعاشرة بالمعروف,"Conducting married life according to recognized goodness, fairness, and kindness. The standard is shaped by revelation and sound custom.",kind marital treatment,,
السكن,"Repose, security, and settled companionship within marriage. It refers to emotional and relational tranquillity, not housing alone.",housing,,
الميثاق الغليظ,"A solemn and weighty covenant; in family sermons, the binding marriage bond. ""Weighty"" expresses seriousness, not physical thickness.",thick contract,,
النكاح,"The legally recognized marital union or marriage contract. In some legal and textual contexts, the word can also refer to consummation.",sexual intercourse,,
العقد,"A binding agreement formed through offer, acceptance, and valid conditions. Its root image is tying, which explains its legal sense of contract.",knot,,
المهر,The obligatory marital gift owed by the husband directly to the wife. It belongs to her and is not payment for purchasing her.,bride price,,
